label	query	iteration	elapsed_seconds
columnar-large-s0-20260428	01_scan_agg_distinct	1	0.256
columnar-large-s0-20260428	01_scan_agg_distinct	2	0.257
columnar-large-s0-20260428	01_scan_agg_distinct	3	0.250
columnar-large-s0-20260428	01_scan_agg_distinct	4	0.250
columnar-large-s0-20260428	01_scan_agg_distinct	5	0.247
columnar-large-s0-20260428	02_scan_agg_json	1	0.273
columnar-large-s0-20260428	02_scan_agg_json	2	0.268
columnar-large-s0-20260428	02_scan_agg_json	3	0.280
columnar-large-s0-20260428	02_scan_agg_json	4	0.267
columnar-large-s0-20260428	02_scan_agg_json	5	0.289
columnar-large-s0-20260428	03_large_in_group_by	1	0.423
columnar-large-s0-20260428	03_large_in_group_by	2	0.465
columnar-large-s0-20260428	03_large_in_group_by	3	0.416
columnar-large-s0-20260428	03_large_in_group_by	4	0.443
columnar-large-s0-20260428	03_large_in_group_by	5	0.422
columnar-large-s0-20260428	04_wide_topn	1	0.639
columnar-large-s0-20260428	04_wide_topn	2	0.613
columnar-large-s0-20260428	04_wide_topn	3	0.588
columnar-large-s0-20260428	04_wide_topn	4	0.647
columnar-large-s0-20260428	04_wide_topn	5	0.564
columnar-large-s0-20260428	05_row_number_paging	1	0.327
columnar-large-s0-20260428	05_row_number_paging	2	0.353
columnar-large-s0-20260428	05_row_number_paging	3	0.343
columnar-large-s0-20260428	05_row_number_paging	4	0.367
columnar-large-s0-20260428	05_row_number_paging	5	0.330
columnar-large-s0-20260428	06_hot_window_agg	1	0.238
columnar-large-s0-20260428	06_hot_window_agg	2	0.212
columnar-large-s0-20260428	06_hot_window_agg	3	0.235
columnar-large-s0-20260428	06_hot_window_agg	4	0.231
columnar-large-s0-20260428	06_hot_window_agg	5	0.217
columnar-large-s0-20260428	07_hot_window_topn	1	0.569
columnar-large-s0-20260428	07_hot_window_topn	2	0.542
columnar-large-s0-20260428	07_hot_window_topn	3	0.676
columnar-large-s0-20260428	07_hot_window_topn	4	0.560
columnar-large-s0-20260428	07_hot_window_topn	5	0.569
columnar-large-s0-20260428	08_or_lookup	1	0.521
columnar-large-s0-20260428	08_or_lookup	2	0.476
columnar-large-s0-20260428	08_or_lookup	3	0.535
columnar-large-s0-20260428	08_or_lookup	4	0.496
columnar-large-s0-20260428	08_or_lookup	5	0.481
columnar-large-s0-20260428	09_pushdown_filter_base	1	0.455
columnar-large-s0-20260428	09_pushdown_filter_base	2	0.456
columnar-large-s0-20260428	09_pushdown_filter_base	3	0.577
columnar-large-s0-20260428	09_pushdown_filter_base	4	0.457
columnar-large-s0-20260428	09_pushdown_filter_base	5	0.464
columnar-large-s0-20260428	10_pushdown_filter_derived	1	0.493
columnar-large-s0-20260428	10_pushdown_filter_derived	2	0.456
columnar-large-s0-20260428	10_pushdown_filter_derived	3	0.455
columnar-large-s0-20260428	10_pushdown_filter_derived	4	0.478
columnar-large-s0-20260428	10_pushdown_filter_derived	5	0.551
columnar-large-s0-20260428	11_late_materialization_narrow_topn	1	0.509
columnar-large-s0-20260428	11_late_materialization_narrow_topn	2	0.534
columnar-large-s0-20260428	11_late_materialization_narrow_topn	3	0.629
columnar-large-s0-20260428	11_late_materialization_narrow_topn	4	0.597
columnar-large-s0-20260428	11_late_materialization_narrow_topn	5	0.609
columnar-large-s0-20260428	12_late_materialization_wide_topn	1	2.860
columnar-large-s0-20260428	12_late_materialization_wide_topn	2	2.698
columnar-large-s0-20260428	12_late_materialization_wide_topn	3	2.600
columnar-large-s0-20260428	12_late_materialization_wide_topn	4	2.591
columnar-large-s0-20260428	12_late_materialization_wide_topn	5	2.196
