label	query	iteration	elapsed_seconds
columnar-large-s0-region-split	01_scan_agg_distinct	1	0.268
columnar-large-s0-region-split	01_scan_agg_distinct	2	0.255
columnar-large-s0-region-split	01_scan_agg_distinct	3	0.256
columnar-large-s0-region-split	01_scan_agg_distinct	4	0.268
columnar-large-s0-region-split	01_scan_agg_distinct	5	0.274
columnar-large-s0-region-split	02_scan_agg_json	1	0.285
columnar-large-s0-region-split	02_scan_agg_json	2	0.278
columnar-large-s0-region-split	02_scan_agg_json	3	0.281
columnar-large-s0-region-split	02_scan_agg_json	4	0.283
columnar-large-s0-region-split	02_scan_agg_json	5	0.287
columnar-large-s0-region-split	03_large_in_group_by	1	0.330
columnar-large-s0-region-split	03_large_in_group_by	2	0.337
columnar-large-s0-region-split	03_large_in_group_by	3	0.352
columnar-large-s0-region-split	03_large_in_group_by	4	0.316
columnar-large-s0-region-split	03_large_in_group_by	5	0.347
columnar-large-s0-region-split	04_wide_topn	1	0.539
columnar-large-s0-region-split	04_wide_topn	2	0.582
columnar-large-s0-region-split	04_wide_topn	3	0.560
columnar-large-s0-region-split	04_wide_topn	4	0.660
columnar-large-s0-region-split	04_wide_topn	5	0.570
columnar-large-s0-region-split	05_row_number_paging	1	0.443
columnar-large-s0-region-split	05_row_number_paging	2	0.348
columnar-large-s0-region-split	05_row_number_paging	3	0.338
columnar-large-s0-region-split	05_row_number_paging	4	0.328
columnar-large-s0-region-split	05_row_number_paging	5	0.346
columnar-large-s0-region-split	06_hot_window_agg	1	0.243
columnar-large-s0-region-split	06_hot_window_agg	2	0.228
columnar-large-s0-region-split	06_hot_window_agg	3	0.223
columnar-large-s0-region-split	06_hot_window_agg	4	0.230
columnar-large-s0-region-split	06_hot_window_agg	5	0.232
columnar-large-s0-region-split	07_hot_window_topn	1	0.528
columnar-large-s0-region-split	07_hot_window_topn	2	0.566
columnar-large-s0-region-split	07_hot_window_topn	3	0.595
columnar-large-s0-region-split	07_hot_window_topn	4	0.553
columnar-large-s0-region-split	07_hot_window_topn	5	0.522
columnar-large-s0-region-split	08_or_lookup	1	2.429
columnar-large-s0-region-split	08_or_lookup	2	2.387
columnar-large-s0-region-split	08_or_lookup	3	2.407
columnar-large-s0-region-split	08_or_lookup	4	2.407
columnar-large-s0-region-split	08_or_lookup	5	2.415
columnar-large-s0-region-split	09_pushdown_filter_base	1	0.452
columnar-large-s0-region-split	09_pushdown_filter_base	2	0.451
columnar-large-s0-region-split	09_pushdown_filter_base	3	0.434
columnar-large-s0-region-split	09_pushdown_filter_base	4	0.437
columnar-large-s0-region-split	09_pushdown_filter_base	5	0.445
columnar-large-s0-region-split	10_pushdown_filter_derived	1	0.456
columnar-large-s0-region-split	10_pushdown_filter_derived	2	0.464
columnar-large-s0-region-split	10_pushdown_filter_derived	3	0.493
columnar-large-s0-region-split	10_pushdown_filter_derived	4	0.464
columnar-large-s0-region-split	10_pushdown_filter_derived	5	0.459
columnar-large-s0-region-split	11_late_materialization_narrow_topn	1	0.385
columnar-large-s0-region-split	11_late_materialization_narrow_topn	2	0.386
columnar-large-s0-region-split	11_late_materialization_narrow_topn	3	0.393
columnar-large-s0-region-split	11_late_materialization_narrow_topn	4	0.387
columnar-large-s0-region-split	11_late_materialization_narrow_topn	5	0.387
columnar-large-s0-region-split	12_late_materialization_wide_topn	1	2.124
columnar-large-s0-region-split	12_late_materialization_wide_topn	2	2.148
columnar-large-s0-region-split	12_late_materialization_wide_topn	3	2.115
columnar-large-s0-region-split	12_late_materialization_wide_topn	4	2.193
columnar-large-s0-region-split	12_late_materialization_wide_topn	5	2.155
