label	query	iteration	elapsed_seconds
columnar-large-s0-secondhit	01_scan_agg_distinct	1	1.908
columnar-large-s0-secondhit	01_scan_agg_distinct	2	2.108
columnar-large-s0-secondhit	02_scan_agg_json	1	1.964
columnar-large-s0-secondhit	02_scan_agg_json	2	1.800
columnar-large-s0-secondhit	03_large_in_group_by	1	1.691
columnar-large-s0-secondhit	03_large_in_group_by	2	1.216
columnar-large-s0-secondhit	04_wide_topn	1	3.181
columnar-large-s0-secondhit	04_wide_topn	2	2.977
columnar-large-s0-secondhit	05_row_number_paging	1	1.383
columnar-large-s0-secondhit	05_row_number_paging	2	1.378
columnar-large-s0-secondhit	06_hot_window_agg	1	0.856
columnar-large-s0-secondhit	06_hot_window_agg	2	0.862
columnar-large-s0-secondhit	07_hot_window_topn	1	2.983
columnar-large-s0-secondhit	07_hot_window_topn	2	3.093
columnar-large-s0-secondhit	08_or_lookup	1	2.410
columnar-large-s0-secondhit	08_or_lookup	2	2.437
columnar-large-s0-secondhit	09_pushdown_filter_base	1	3.033
columnar-large-s0-secondhit	09_pushdown_filter_base	2	2.975
columnar-large-s0-secondhit	10_pushdown_filter_derived	1	3.026
columnar-large-s0-secondhit	10_pushdown_filter_derived	2	2.989
columnar-large-s0-secondhit	11_late_materialization_narrow_topn	1	2.378
columnar-large-s0-secondhit	11_late_materialization_narrow_topn	2	2.356
columnar-large-s0-secondhit	12_late_materialization_wide_topn	1	16.841
columnar-large-s0-secondhit	12_late_materialization_wide_topn	2	16.296
