label	query	iteration	elapsed_seconds
columnar-large-s0	01_scan_agg_distinct	1	0.946
columnar-large-s0	01_scan_agg_distinct	2	0.936
columnar-large-s0	01_scan_agg_distinct	3	0.954
columnar-large-s0	01_scan_agg_distinct	4	0.928
columnar-large-s0	01_scan_agg_distinct	5	0.960
columnar-large-s0	02_scan_agg_json	1	0.941
columnar-large-s0	02_scan_agg_json	2	0.933
columnar-large-s0	02_scan_agg_json	3	0.934
columnar-large-s0	02_scan_agg_json	4	0.915
columnar-large-s0	02_scan_agg_json	5	0.921
columnar-large-s0	03_large_in_group_by	1	1.325
columnar-large-s0	03_large_in_group_by	2	1.313
columnar-large-s0	03_large_in_group_by	3	1.182
columnar-large-s0	03_large_in_group_by	4	1.328
columnar-large-s0	03_large_in_group_by	5	1.317
columnar-large-s0	04_wide_topn	1	2.907
columnar-large-s0	04_wide_topn	2	2.698
columnar-large-s0	04_wide_topn	3	2.815
columnar-large-s0	04_wide_topn	4	2.925
columnar-large-s0	04_wide_topn	5	3.134
columnar-large-s0	05_row_number_paging	1	1.331
columnar-large-s0	05_row_number_paging	2	1.334
columnar-large-s0	05_row_number_paging	3	1.351
columnar-large-s0	05_row_number_paging	4	1.371
columnar-large-s0	05_row_number_paging	5	1.395
columnar-large-s0	06_hot_window_agg	1	0.839
columnar-large-s0	06_hot_window_agg	2	0.883
columnar-large-s0	06_hot_window_agg	3	0.876
columnar-large-s0	06_hot_window_agg	4	0.859
columnar-large-s0	06_hot_window_agg	5	0.839
columnar-large-s0	07_hot_window_topn	1	2.691
columnar-large-s0	07_hot_window_topn	2	2.999
columnar-large-s0	07_hot_window_topn	3	2.721
columnar-large-s0	07_hot_window_topn	4	2.648
columnar-large-s0	07_hot_window_topn	5	2.652
columnar-large-s0	08_or_lookup	1	2.417
columnar-large-s0	08_or_lookup	2	2.419
columnar-large-s0	08_or_lookup	3	2.458
columnar-large-s0	08_or_lookup	4	2.416
columnar-large-s0	08_or_lookup	5	2.459
columnar-large-s0	09_pushdown_filter_base	1	3.117
columnar-large-s0	09_pushdown_filter_base	2	2.978
columnar-large-s0	09_pushdown_filter_base	3	3.009
columnar-large-s0	09_pushdown_filter_base	4	3.087
columnar-large-s0	09_pushdown_filter_base	5	2.983
columnar-large-s0	10_pushdown_filter_derived	1	3.024
columnar-large-s0	10_pushdown_filter_derived	2	3.046
columnar-large-s0	10_pushdown_filter_derived	3	3.133
columnar-large-s0	10_pushdown_filter_derived	4	3.107
columnar-large-s0	10_pushdown_filter_derived	5	3.423
columnar-large-s0	11_late_materialization_narrow_topn	1	2.399
columnar-large-s0	11_late_materialization_narrow_topn	2	2.375
columnar-large-s0	11_late_materialization_narrow_topn	3	2.307
columnar-large-s0	11_late_materialization_narrow_topn	4	2.325
columnar-large-s0	11_late_materialization_narrow_topn	5	2.332
columnar-large-s0	12_late_materialization_wide_topn	1	15.991
columnar-large-s0	12_late_materialization_wide_topn	2	15.779
columnar-large-s0	12_late_materialization_wide_topn	3	15.653
columnar-large-s0	12_late_materialization_wide_topn	4	16.091
columnar-large-s0	12_late_materialization_wide_topn	5	15.853
