label	query	result_rows	sha256
columnar-s0	01_scan_agg_distinct	1	67da6b22218cb3efa9731ce0717dcf45a22ff247e9e643386bad88a774219d9e
columnar-s0	02_scan_agg_json	1	1b7e090d90c08d56662043977642b348ba7211bf7ef0200453d1d4cb54bd133f
columnar-s0	03_large_in_group_by	32	cc5b791bd274e70675d754725ef902ad260dd89816c267fb08781d4e759d7767
columnar-s0	04_wide_topn	100	292ce09099cb21f9f3833c463ed090174b7a41e813afd9f504adfd725f0e8a2a
columnar-s0	05_row_number_paging	1000	f7b857a0675be8aaf2fd7f523e13bf31bfb1275dd70806b871e273329ca90efd
columnar-s0	06_hot_window_agg	1	9a432e4fe43b1e695f7058f344931aae640d05ef8740a186b12dad753c6c116e
columnar-s0	07_hot_window_topn	100	1ad7937db37daaefc1a760b2936453450db9b5289ed713cec97f40639da9f122
columnar-s0	08_or_lookup	6	7123148761098ec2dbbdc541d0022f560e77fbbc24c92127a86526178413c73d
columnar-s0	09_pushdown_filter_base	4	2e8a38896e8439987a08d15b208127985c1e9eb74629ae66e218c746c135e98b
columnar-s0	10_pushdown_filter_derived	4	2e8a38896e8439987a08d15b208127985c1e9eb74629ae66e218c746c135e98b
columnar-s0	11_late_materialization_narrow_topn	200	2927025fec00ed7f8f513bcea30b4e81d8b7791083c24a26bf66316798f1f989
columnar-s0	12_late_materialization_wide_topn	200	5ec825d16e3638e8a5f03a5ca8a50efca6a92bb3411e8aefa340038116784779
