label	query	iteration	elapsed_seconds
columnar-s0	01_scan_agg_distinct	1	0.466
columnar-s0	01_scan_agg_distinct	2	0.475
columnar-s0	01_scan_agg_distinct	3	0.469
columnar-s0	01_scan_agg_distinct	4	0.485
columnar-s0	01_scan_agg_distinct	5	0.468
columnar-s0	02_scan_agg_json	1	0.451
columnar-s0	02_scan_agg_json	2	0.459
columnar-s0	02_scan_agg_json	3	0.478
columnar-s0	02_scan_agg_json	4	0.453
columnar-s0	02_scan_agg_json	5	0.457
columnar-s0	03_large_in_group_by	1	0.685
columnar-s0	03_large_in_group_by	2	0.693
columnar-s0	03_large_in_group_by	3	0.668
columnar-s0	03_large_in_group_by	4	0.651
columnar-s0	03_large_in_group_by	5	0.701
columnar-s0	04_wide_topn	1	1.317
columnar-s0	04_wide_topn	2	1.215
columnar-s0	04_wide_topn	3	1.290
columnar-s0	04_wide_topn	4	1.296
columnar-s0	04_wide_topn	5	1.318
columnar-s0	05_row_number_paging	1	0.645
columnar-s0	05_row_number_paging	2	0.648
columnar-s0	05_row_number_paging	3	0.655
columnar-s0	05_row_number_paging	4	0.631
columnar-s0	05_row_number_paging	5	0.641
columnar-s0	06_hot_window_agg	1	0.413
columnar-s0	06_hot_window_agg	2	0.433
columnar-s0	06_hot_window_agg	3	0.411
columnar-s0	06_hot_window_agg	4	0.423
columnar-s0	06_hot_window_agg	5	0.414
columnar-s0	07_hot_window_topn	1	1.215
columnar-s0	07_hot_window_topn	2	1.259
columnar-s0	07_hot_window_topn	3	1.235
columnar-s0	07_hot_window_topn	4	1.300
columnar-s0	07_hot_window_topn	5	1.290
columnar-s0	08_or_lookup	1	0.854
columnar-s0	08_or_lookup	2	0.855
columnar-s0	08_or_lookup	3	0.837
columnar-s0	08_or_lookup	4	0.844
columnar-s0	08_or_lookup	5	0.838
columnar-s0	09_pushdown_filter_base	1	1.453
columnar-s0	09_pushdown_filter_base	2	1.405
columnar-s0	09_pushdown_filter_base	3	1.460
columnar-s0	09_pushdown_filter_base	4	1.432
columnar-s0	09_pushdown_filter_base	5	1.470
columnar-s0	10_pushdown_filter_derived	1	1.477
columnar-s0	10_pushdown_filter_derived	2	1.614
columnar-s0	10_pushdown_filter_derived	3	1.426
columnar-s0	10_pushdown_filter_derived	4	1.397
columnar-s0	10_pushdown_filter_derived	5	1.411
columnar-s0	11_late_materialization_narrow_topn	1	1.163
columnar-s0	11_late_materialization_narrow_topn	2	1.124
columnar-s0	11_late_materialization_narrow_topn	3	1.126
columnar-s0	11_late_materialization_narrow_topn	4	1.130
columnar-s0	11_late_materialization_narrow_topn	5	1.130
columnar-s0	12_late_materialization_wide_topn	1	6.623
columnar-s0	12_late_materialization_wide_topn	2	6.456
columnar-s0	12_late_materialization_wide_topn	3	6.489
columnar-s0	12_late_materialization_wide_topn	4	7.374
columnar-s0	12_late_materialization_wide_topn	5	7.606
