label	query	result_rows	sha256
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	1	a688a8419836bb2d1832a0ba3e30ada48a6c939aa21f9cc78de48d07b594d57d
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	1	980d3620f96885e7b1dab0523750817e0f9173999650472bd2b7202adcbf5913
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	32	5c3c58746630c865af5b7521d0979d71469c4767401b8ba64d976fe8fcbd108f
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	100	ca6fc562fe82332b50ba2419c6ef4cdbdb7ac353ce0c2d67f934cea63e67fe6f
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	1000	c85714624fa0db7d7f02d65b64a26d9df842020d88a8162a1f23ec7def516024
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	1	b61d8a4d80d695ee34e2c480b1633430811df6f98924241d6d9e6313e314cad8
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	100	e4b04b330fad6f07073f1d37de7c36c8d02caa2fe45cef8c191fb24b5b626df6
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	6	7123148761098ec2dbbdc541d0022f560e77fbbc24c92127a86526178413c73d
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	4	0da1ddd9cf87f5065152d1796515832e9fd7a71f17e5f44d877e486a18a0de59
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	4	0da1ddd9cf87f5065152d1796515832e9fd7a71f17e5f44d877e486a18a0de59
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	200	947d0209a3a4e1417121c97a8d8ebdd77eed11198537873587494ce4be8eca14
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	200	bf74a6fbc4d36e3c1a6cef4c03d184d8ed6f723f827ef4cde26f61171f93d1f8
