label	query	iteration	elapsed_seconds
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	1	1.019
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	2	1.059
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	3	1.055
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	4	1.044
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	5	1.064
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	1	1.227
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	2	1.284
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	3	1.197
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	4	1.173
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	5	1.283
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	1	1.211
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	2	1.220
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	3	1.261
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	4	1.339
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	5	1.235
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	1	2.367
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	2	2.352
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	3	2.333
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	4	2.283
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	5	2.356
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	1	1.255
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	2	1.250
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	3	1.279
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	4	1.251
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	5	1.271
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	1	0.878
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	2	0.817
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	3	0.820
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	4	0.859
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	5	0.821
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	1	2.126
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	2	2.131
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	3	2.058
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	4	2.234
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	5	2.149
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	1	4.649
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	2	4.621
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	3	4.621
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	4	4.651
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	5	4.661
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	1	2.226
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	2	2.265
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	3	2.270
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	4	2.275
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	5	2.230
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	1	2.469
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	2	2.462
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	3	2.412
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	4	2.465
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	5	2.470
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	1	2.128
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	2	2.088
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	3	2.067
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	4	2.094
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	5	2.077
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	1	12.820
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	2	12.714
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	3	12.605
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	4	12.749
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	5	12.680
