label	query	iteration	elapsed_seconds
deltamerge-large-s0-16core	01_scan_agg_distinct	1	0.231
deltamerge-large-s0-16core	01_scan_agg_distinct	2	0.238
deltamerge-large-s0-16core	01_scan_agg_distinct	3	0.236
deltamerge-large-s0-16core	01_scan_agg_distinct	4	0.222
deltamerge-large-s0-16core	01_scan_agg_distinct	5	0.232
deltamerge-large-s0-16core	02_scan_agg_json	1	0.233
deltamerge-large-s0-16core	02_scan_agg_json	2	0.227
deltamerge-large-s0-16core	02_scan_agg_json	3	0.213
deltamerge-large-s0-16core	02_scan_agg_json	4	0.209
deltamerge-large-s0-16core	02_scan_agg_json	5	0.220
deltamerge-large-s0-16core	03_large_in_group_by	1	0.187
deltamerge-large-s0-16core	03_large_in_group_by	2	0.187
deltamerge-large-s0-16core	03_large_in_group_by	3	0.188
deltamerge-large-s0-16core	03_large_in_group_by	4	0.172
deltamerge-large-s0-16core	03_large_in_group_by	5	0.188
deltamerge-large-s0-16core	04_wide_topn	1	0.327
deltamerge-large-s0-16core	04_wide_topn	2	0.330
deltamerge-large-s0-16core	04_wide_topn	3	0.323
deltamerge-large-s0-16core	04_wide_topn	4	0.335
deltamerge-large-s0-16core	04_wide_topn	5	0.343
deltamerge-large-s0-16core	05_row_number_paging	1	0.283
deltamerge-large-s0-16core	05_row_number_paging	2	0.276
deltamerge-large-s0-16core	05_row_number_paging	3	0.273
deltamerge-large-s0-16core	05_row_number_paging	4	0.280
deltamerge-large-s0-16core	05_row_number_paging	5	0.257
deltamerge-large-s0-16core	06_hot_window_agg	1	0.209
deltamerge-large-s0-16core	06_hot_window_agg	2	0.224
deltamerge-large-s0-16core	06_hot_window_agg	3	0.213
deltamerge-large-s0-16core	06_hot_window_agg	4	0.227
deltamerge-large-s0-16core	06_hot_window_agg	5	0.223
deltamerge-large-s0-16core	07_hot_window_topn	1	0.333
deltamerge-large-s0-16core	07_hot_window_topn	2	0.327
deltamerge-large-s0-16core	07_hot_window_topn	3	0.352
deltamerge-large-s0-16core	07_hot_window_topn	4	0.331
deltamerge-large-s0-16core	07_hot_window_topn	5	0.347
deltamerge-large-s0-16core	08_or_lookup	1	0.226
deltamerge-large-s0-16core	08_or_lookup	2	0.221
deltamerge-large-s0-16core	08_or_lookup	3	0.231
deltamerge-large-s0-16core	08_or_lookup	4	0.219
deltamerge-large-s0-16core	08_or_lookup	5	0.226
deltamerge-large-s0-16core	09_pushdown_filter_base	1	0.207
deltamerge-large-s0-16core	09_pushdown_filter_base	2	0.209
deltamerge-large-s0-16core	09_pushdown_filter_base	3	0.229
deltamerge-large-s0-16core	09_pushdown_filter_base	4	0.206
deltamerge-large-s0-16core	09_pushdown_filter_base	5	0.197
deltamerge-large-s0-16core	10_pushdown_filter_derived	1	0.215
deltamerge-large-s0-16core	10_pushdown_filter_derived	2	0.216
deltamerge-large-s0-16core	10_pushdown_filter_derived	3	0.211
deltamerge-large-s0-16core	10_pushdown_filter_derived	4	0.220
deltamerge-large-s0-16core	10_pushdown_filter_derived	5	0.218
deltamerge-large-s0-16core	11_late_materialization_narrow_topn	1	0.209
deltamerge-large-s0-16core	11_late_materialization_narrow_topn	2	0.215
deltamerge-large-s0-16core	11_late_materialization_narrow_topn	3	0.222
deltamerge-large-s0-16core	11_late_materialization_narrow_topn	4	0.211
deltamerge-large-s0-16core	11_late_materialization_narrow_topn	5	0.218
deltamerge-large-s0-16core	12_late_materialization_wide_topn	1	0.494
deltamerge-large-s0-16core	12_late_materialization_wide_topn	2	0.511
deltamerge-large-s0-16core	12_late_materialization_wide_topn	3	0.533
deltamerge-large-s0-16core	12_late_materialization_wide_topn	4	0.527
deltamerge-large-s0-16core	12_late_materialization_wide_topn	5	0.514
