label	query	iteration	elapsed_seconds
deltamerge-large-s0	01_scan_agg_distinct	1	0.235
deltamerge-large-s0	01_scan_agg_distinct	2	0.241
deltamerge-large-s0	01_scan_agg_distinct	3	0.239
deltamerge-large-s0	01_scan_agg_distinct	4	0.230
deltamerge-large-s0	01_scan_agg_distinct	5	0.249
deltamerge-large-s0	02_scan_agg_json	1	0.233
deltamerge-large-s0	02_scan_agg_json	2	0.212
deltamerge-large-s0	02_scan_agg_json	3	0.241
deltamerge-large-s0	02_scan_agg_json	4	0.228
deltamerge-large-s0	02_scan_agg_json	5	0.232
deltamerge-large-s0	03_large_in_group_by	1	0.185
deltamerge-large-s0	03_large_in_group_by	2	0.189
deltamerge-large-s0	03_large_in_group_by	3	0.195
deltamerge-large-s0	03_large_in_group_by	4	0.192
deltamerge-large-s0	03_large_in_group_by	5	0.196
deltamerge-large-s0	04_wide_topn	1	0.333
deltamerge-large-s0	04_wide_topn	2	0.355
deltamerge-large-s0	04_wide_topn	3	0.358
deltamerge-large-s0	04_wide_topn	4	0.327
deltamerge-large-s0	04_wide_topn	5	0.348
deltamerge-large-s0	05_row_number_paging	1	0.274
deltamerge-large-s0	05_row_number_paging	2	0.288
deltamerge-large-s0	05_row_number_paging	3	0.277
deltamerge-large-s0	05_row_number_paging	4	0.299
deltamerge-large-s0	05_row_number_paging	5	0.276
deltamerge-large-s0	06_hot_window_agg	1	0.214
deltamerge-large-s0	06_hot_window_agg	2	0.211
deltamerge-large-s0	06_hot_window_agg	3	0.222
deltamerge-large-s0	06_hot_window_agg	4	0.221
deltamerge-large-s0	06_hot_window_agg	5	0.218
deltamerge-large-s0	07_hot_window_topn	1	0.323
deltamerge-large-s0	07_hot_window_topn	2	0.317
deltamerge-large-s0	07_hot_window_topn	3	0.336
deltamerge-large-s0	07_hot_window_topn	4	0.364
deltamerge-large-s0	07_hot_window_topn	5	0.359
deltamerge-large-s0	08_or_lookup	1	0.224
deltamerge-large-s0	08_or_lookup	2	0.215
deltamerge-large-s0	08_or_lookup	3	0.247
deltamerge-large-s0	08_or_lookup	4	0.226
deltamerge-large-s0	08_or_lookup	5	0.230
deltamerge-large-s0	09_pushdown_filter_base	1	0.199
deltamerge-large-s0	09_pushdown_filter_base	2	0.207
deltamerge-large-s0	09_pushdown_filter_base	3	0.217
deltamerge-large-s0	09_pushdown_filter_base	4	0.201
deltamerge-large-s0	09_pushdown_filter_base	5	0.211
deltamerge-large-s0	10_pushdown_filter_derived	1	0.208
deltamerge-large-s0	10_pushdown_filter_derived	2	0.217
deltamerge-large-s0	10_pushdown_filter_derived	3	0.222
deltamerge-large-s0	10_pushdown_filter_derived	4	0.225
deltamerge-large-s0	10_pushdown_filter_derived	5	0.230
deltamerge-large-s0	11_late_materialization_narrow_topn	1	0.209
deltamerge-large-s0	11_late_materialization_narrow_topn	2	0.214
deltamerge-large-s0	11_late_materialization_narrow_topn	3	0.211
deltamerge-large-s0	11_late_materialization_narrow_topn	4	0.194
deltamerge-large-s0	11_late_materialization_narrow_topn	5	0.229
deltamerge-large-s0	12_late_materialization_wide_topn	1	0.541
deltamerge-large-s0	12_late_materialization_wide_topn	2	0.518
deltamerge-large-s0	12_late_materialization_wide_topn	3	0.530
deltamerge-large-s0	12_late_materialization_wide_topn	4	0.525
deltamerge-large-s0	12_late_materialization_wide_topn	5	0.539
