label	query	iteration	elapsed_seconds
deltamerge-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	1	0.655
deltamerge-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	2	0.686
deltamerge-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	3	0.708
deltamerge-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	4	0.704
deltamerge-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	5	0.676
deltamerge-xlarge-s0-bestof5-20260428	02_scan_agg_json	1	0.612
deltamerge-xlarge-s0-bestof5-20260428	02_scan_agg_json	2	0.708
deltamerge-xlarge-s0-bestof5-20260428	02_scan_agg_json	3	0.639
deltamerge-xlarge-s0-bestof5-20260428	02_scan_agg_json	4	0.599
deltamerge-xlarge-s0-bestof5-20260428	02_scan_agg_json	5	0.680
deltamerge-xlarge-s0-bestof5-20260428	03_large_in_group_by	1	2.720
deltamerge-xlarge-s0-bestof5-20260428	03_large_in_group_by	2	2.517
deltamerge-xlarge-s0-bestof5-20260428	03_large_in_group_by	3	2.336
deltamerge-xlarge-s0-bestof5-20260428	03_large_in_group_by	4	2.244
deltamerge-xlarge-s0-bestof5-20260428	03_large_in_group_by	5	2.432
deltamerge-xlarge-s0-bestof5-20260428	04_wide_topn	1	0.501
deltamerge-xlarge-s0-bestof5-20260428	04_wide_topn	2	0.482
deltamerge-xlarge-s0-bestof5-20260428	04_wide_topn	3	0.536
deltamerge-xlarge-s0-bestof5-20260428	04_wide_topn	4	0.508
deltamerge-xlarge-s0-bestof5-20260428	04_wide_topn	5	0.639
deltamerge-xlarge-s0-bestof5-20260428	05_row_number_paging	1	0.496
deltamerge-xlarge-s0-bestof5-20260428	05_row_number_paging	2	0.402
deltamerge-xlarge-s0-bestof5-20260428	05_row_number_paging	3	0.422
deltamerge-xlarge-s0-bestof5-20260428	05_row_number_paging	4	0.420
deltamerge-xlarge-s0-bestof5-20260428	05_row_number_paging	5	0.433
deltamerge-xlarge-s0-bestof5-20260428	06_hot_window_agg	1	0.287
deltamerge-xlarge-s0-bestof5-20260428	06_hot_window_agg	2	0.288
deltamerge-xlarge-s0-bestof5-20260428	06_hot_window_agg	3	0.277
deltamerge-xlarge-s0-bestof5-20260428	06_hot_window_agg	4	0.266
deltamerge-xlarge-s0-bestof5-20260428	06_hot_window_agg	5	0.262
deltamerge-xlarge-s0-bestof5-20260428	07_hot_window_topn	1	0.528
deltamerge-xlarge-s0-bestof5-20260428	07_hot_window_topn	2	0.548
deltamerge-xlarge-s0-bestof5-20260428	07_hot_window_topn	3	0.530
deltamerge-xlarge-s0-bestof5-20260428	07_hot_window_topn	4	0.494
deltamerge-xlarge-s0-bestof5-20260428	07_hot_window_topn	5	0.562
deltamerge-xlarge-s0-bestof5-20260428	08_or_lookup	1	0.288
deltamerge-xlarge-s0-bestof5-20260428	08_or_lookup	2	0.238
deltamerge-xlarge-s0-bestof5-20260428	08_or_lookup	3	0.233
deltamerge-xlarge-s0-bestof5-20260428	08_or_lookup	4	0.228
deltamerge-xlarge-s0-bestof5-20260428	08_or_lookup	5	0.238
deltamerge-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	1	0.303
deltamerge-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	2	0.362
deltamerge-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	3	0.371
deltamerge-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	4	0.361
deltamerge-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	5	0.338
deltamerge-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	1	0.343
deltamerge-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	2	0.324
deltamerge-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	3	0.330
deltamerge-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	4	0.319
deltamerge-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	5	0.309
deltamerge-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	1	0.337
deltamerge-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	2	0.367
deltamerge-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	3	0.363
deltamerge-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	4	0.406
deltamerge-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	5	0.376
deltamerge-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	1	1.401
deltamerge-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	2	1.254
deltamerge-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	3	1.370
deltamerge-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	4	1.520
deltamerge-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	5	1.518
