label	query	result_rows	sha256
large-smoke	01_scan_agg_distinct	1	5e4a10e46a2886d2021d2c010add4d0a770f1a07e93c4a7e20264b28558c1b65
large-smoke	02_scan_agg_json	1	6105971c907eb07b83ea9b738a736aeadaae3f6ae8ab469e1d1a8950a00854ad
large-smoke	03_large_in_group_by	32	580c4e14a4e9c92ed3c0548618333dfde46f85b2cf1655c145d8d7290a5b2edb
large-smoke	04_wide_topn	100	db188c667d704a45ed07adc5fe0fa8e3130a761dfdf459d7970baad2a7c1a592
large-smoke	05_row_number_paging	1000	5b718476009bae682f2008ce931565cb6760f577a08496120302c64b65f8ae11
large-smoke	06_hot_window_agg	1	f774b208c557980fb29748c9687e3d89797c9abfa39d50c66336567a1743d38f
large-smoke	07_hot_window_topn	100	4df8511ab5f8ea92717c5e9c6d3f12897599aba0f38d598c3b9a2b273206b683
large-smoke	08_or_lookup	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
large-smoke	09_pushdown_filter_base	4	3c8a76d78e372f2684782bd07196ffce95983d28c577eef23f9caf2fa73fd23d
large-smoke	10_pushdown_filter_derived	4	3c8a76d78e372f2684782bd07196ffce95983d28c577eef23f9caf2fa73fd23d
large-smoke	11_late_materialization_narrow_topn	200	8577b1dfe043774c7e292ea9de175799cc3d34f1b30da7e770c341e6668bd63d
large-smoke	12_late_materialization_wide_topn	200	4c883b9dca914f1ef6d0e0df16efabb5be75fa86419a272bb4b0fbc23f76c1dd
