label	query	iteration	elapsed_seconds
large-smoke	01_scan_agg_distinct	1	0.283
large-smoke	02_scan_agg_json	1	0.276
large-smoke	03_large_in_group_by	1	0.430
large-smoke	04_wide_topn	1	0.528
large-smoke	05_row_number_paging	1	0.364
large-smoke	06_hot_window_agg	1	0.266
large-smoke	07_hot_window_topn	1	0.478
large-smoke	08_or_lookup	1	0.087
large-smoke	09_pushdown_filter_base	1	0.543
large-smoke	10_pushdown_filter_derived	1	0.539
large-smoke	11_late_materialization_narrow_topn	1	0.473
large-smoke	12_late_materialization_wide_topn	1	1.993
